"# of Use","počet použití"
"%s Item(s)","položek: %s"
"(Copy data from: %s)","(Kopírovat data z: %s)"
"Configurable Product","Nastavitelný produkt"
"Configurable Product Settings","Nastavení konfigurovatelných produktů"
"Continue","Pokračovat"
"Copy From Configurable","Zkopírovat z konfigurovatelný"
"Create","Vytvořit"
"Create (Upload)","Vytvořit (Nahrát)"
"Create Empty","Vytvořit prázdné"
"Create Product Settings","Vytvořit nastavení produktu"
"Create Simple Associated Product","Vytvořit jednoduchý přiřazený produkt"
"Create new category","Vytvořit novou kategorii"
"Create new product","Vytvořit nový produkt"
"Cross-sells","Související"
"Currently Shopping by","Nakupovat dle"
"Custom Design","Uživatelský vzhled"
"Custom Options","Vlastní možnosti"
"Customer Group","Skupina zákazníků"
"Customers Reviews","Zákaznické recenze"
"Customers Tagged Product","Zákaznícký popis produktu"
"Customers for alert %s was successfuly added to queue","Zákazníci pro zprávy %s byli úspěně přidány do fronty"
"Data Type for Saving in Database","Typ dat pro ukládání do databáze"
"Date","Datum"
"Date Subscribed","Předplacený od"
"Datetime","Datetime"
"Decimal","Desetinný"
"Decimal Number","Desetinné číslo"
"Declare attribute value saving scope","Rozsah deklarovaných hodnot atributů uložen"
"Default Qty","Výchozí množství"
"Default Values","Výchozí hodnota"
"Default price","Výchozí cena"
"Default value","Výchozí hodnota"
"Delete","Smazat"
"Delete Attribute","Smazat atribut"
"Delete Attribute Set","Smazat kolekci atributů"
"Delete Category","Smazat kategorii"
"Delete Option","Smazat možnost"
"Delete Row","Smazat řádek"
"Delete Search","Smazat hledání"
"Delete Selected Group","Smazat označenou skupinu"
"Delete category","Smazat kategorii"
"Delete product","Smazat produkt"
"Design","Vzhled"
"Disabled","Neaktivní"
"Display in Suggested Terms","Zobrazit v nabízených výrazech"
"Double click on a group to rename it","Pro přejmenování skupiny použijte dvojklik"
"Double click on above image to view full picture","Dvojklikem na obrázek ho zobrazíte v plné velikosti"
"Dropdown","Rozbalovací menu"
"Duplicate","Zdvojený"
"Duplicate website tier price customer group and quantity.","Duplikovat website množstevních slev zákaznických skupin a množství."
"Edit","Upravit"
"Edit Attribute Set '%s'","Upravit množinu vlastností '%s'"
"Edit Product Attribute","Upravit vlastnosti produktu"
"Edit Product Attribute ""%s""","Upravit vlastnosti produktu ""%s"""
"Edit Search","Upravit hledání"
"Edit Search '%s'","Upravit hledání '%s'"
"Email","E-mail"
"Email to a Friend","Poslat známému"
"Empty","Prázdné"
"Enabled","Aktivní"
"Error during retrieval of option value: %s","Chyba během příjmu hodnoty volby: %s"
"Error while adding customers for %s alert. Message: %s","Chyba při přidávání zákazníka pro %s. Zpráva: %s"
"Error while saving this group. Group with the same name already exists.","Chyba při ukládání skupiny. Skupina s tímto jménem již existuje."
"Error while saving this group. Please try again later.","Chyba při ukládání skupiny. Prosím zkuste opakovat později."
"Excl. Tax:","Bez daně:"
"Exclude","Vyřadit"
"Failed","Neúspěšný"
"Failed to move file: %s","Chybné přesouvání souboru: %s"
"Feature Products","Hlavní produkty"
"File Extension","File Extension"
"Filter model name must be declared","Filtr jména modelu musí být deklarován"
"Filter must be as object. Set correct filter please","Filtr musí být objekt. Opravte prosím filtr"
"Filterable (no results)","Filtrovatelné (nevracet výsledky)"
"Filterable (with results)","Filtrovatelné (s výsledky)"
"Filters must be as array","Filtry musí být v poli"
"First Name","Jméno"
"Fixed","Pevné"
"For internal use. Must be unique with no spaces","Pro vnitřni účely. Musí být unikátní a bez mezer"
"For reindex enabled product(s) you need specify store or product","Pro přeřazení dostuplných produktů musíte specifikovat obchod nebo produkt"
"Frontend","Frontend"
"Frontend Model","Model frondendu"
"Frontend Properties","Vlastnosti frondendu"
"Gallery","Galerie"
"General Information","Všeobecné informace"
"Get special price","Speciální cena"
"Global","Globální"
"Globally Editable","Globálně upravitelný"
"Go to Home Page","Na hlavní stránku"
"Grid","Tabulka"
"Grouped Product","Skupina produktů"
"Groups","Skupiny"
"Home","Domů"
"ID","ID"
"If you do not specify an option value for a store then the default value will be used.","Pokud nespecifikujete vlastnost pro obchod, bude použita výchozí hodnota."
"Image","Obrázek"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image file not found","Obrázek nenalezen"
"Image not exists","Obrázek neexistuje"
"Image not specified.","Obrázek není specifikovaný."
"Image type and information need to be specified for each store view.","Typ a informace o obrázku musí být specifikovány pro každý obchod."
"In Stock","Na skladě"
"In stock","Na skladě"
"Incl. Tax","s daní"
"Incl. Tax:","s daní:"
"Input Type","Vstupní typ"
"Input Validation for Store Owner","Vložit ověření platnosti formátu"
"Integer","Celé číslo"
"Integer Number","Celé číslo"
"Invalid Tier Prices","Chybné množstevní slevy"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Byla specifikována neplatná volba pro atribut %s (%s), záznam vynechán"
"Invalid attribute set specified, skipping the record","Byla specifikována neplatná kolekce atributů, záznam vynechán"
"Invalid block: %s","Neplatný blok: %s"
"Invalid category IDs","Chybné ID kategorie"
"Invalid image file type","Chybný typ obrázku"
"Invalid image type.","Chybný typ obrázku."
"Invalid option id specified for %s (%s), skipping the record","Bylo specifikováno neplatné id volby pro %s (%s), záznam vynechán"
"Invalid product type specified, skipping the record","Neplatný typ produktu, záznam vynechán"
"Invalid store specified","Chybně vybraný obchod"
"Invalid store specified, skipping the record","Byl vybrán neplatný obchod, záznam vynechán"
"Inventory","Sklad"
"Is Default","Je výchozí"
"Is Required","Je vyžadováno"
"Items %s to %s of %s total","Položky <strong>%s</strong> až <strong>%s</strong> z celkem <strong>%s</strong>"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Položky, které nechcete zobrazovat v katalogu nebo vyhledávání musí mít status ""Vypnuto"" v požadovaném obchodě."
"Label","Nadpis"
"Last Name","Příjmení"
"Last Notification","Poslední zpráva"
"Learn More","Dozvědět se více"
"Length of text is too long","Délka textu je příliš dlouhá"
"Letters","Písmena"
"Letters(a-zA-Z) or Numbers(0-9)","Písmena (a-zA-Z) nebo číslice (0-9)"
"Line %d, Email: %s","Řádek %d, e-mail: %s"
"Line %d, SKU: %s","Řádek %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product not exists.","Odkaz na produkt neexistuje."
"List","Seznam"
"List Mode","Typ seznam"
"Manage Attribute Sets","Správa kolekce atributů"
"Manage Attributes","Správa atributů"
"Manage Catalog Categories","Správa kategorií katalogu"
"Manage Categories","Správa kategorií"
"Manage Label / Options","Správa Nadpisů / Možností"
"Manage Options (values of your attribute)","Správa možností (hodnoty pro atribut)"
"Manage Product Attributes","Správa atributů produktu"
"Manage Product Sets","Spravovat množinu produktů"
"Manage Products","Spravovat produkty"
"Manage Stock","Spravovat sklad"
"Manage Titles (Size, Color, etc.)","Spravovat nadpisy (Velikost, Barva, atd.)"
"Max Characters","Maximálně znaků"
"Maximal Depth","Maximální hloubka"
"Maximum Qty Allowed in Shopping Cart","Maximální dovolené množství v košíku"
"Maximum number of characters","Maximální počet znaků"
"Media Image","Obrázek médií"
"Minimum Qty Allowed in Shopping Cart","Minimální dovolené množství v košíku"
"Minimum Qty for Item's Status to be Out of Stock","Minimální množství pro stav Vyprodáno"
"Missing SKU, skipping the record","Chybějící SKU, záznam vynechán"
"More Views","Více pohledů"
"Move","Přesunout"
"Move category in tree","Přesunout kategorii ve stromě"
"Multiple Select","Vícenásobný výběr (označení)"
"Name","Jméno"
"Name In %s","Jméno je: %s"
"Name<br/>(For internal use)","Název<br/>(pro vnitřní účely)"
"New Category","Nová kategorie"
"New Product","Nový produkt"
"New Product Attribute","Nové atributy produktu"
"New Products","Nové produkty"
"New Search","Nové hledání"
"New Set Name","Nový název kolekce"
"Next","Další"
"No","Ne"
"No image","Žádný obrázek"
"No layout updates","vzhled neaktualizován"
"No options of this product are available.","Tento produkt nemá žádné dostupné možnosti."
"No product collections found","Kolekce produktů nenalezeny"
"None","Žádné"
"Not shared with other products","Nesdílet s dalšími produkty"
"Notify Low Stock RSS","RSS pro upozornění na nízký stav zásob"
"Notify for Quantity Below","Upozornit pro množství menší než"
"Nowhere","Nikde"
"Number of Uses","Počet uživatelů"
"Number of results<br/>(For last time placed)","Počet výsledků<br/>(Pro poslední umístění)"
"OR","NEBO"
"Old Price:","Původní cena:"
"Option:","Volba:"
"Options Control","Nastavení možností"
"Options is required","Nastavení je vyžadováno"
"Our customer service is available 24/7. Call us at (800) DEMO-NUMBER.","Náš zákaznický servis je dostupný nonstop. Volejte nám na (800) DEMO-NUMBER."
"Out of Stock","Není skladem"
"Out of stock","Není skladem"
"Out of stock.","Není skladem."
"Page Title Separator","Oddělovač nadpisu stránek"
"Page:","Stránka:"
"Parent Category","Nadřazená kategorie"
"Pending","Čekající"
"Pending Reviews RSS","RSS pro nevyřešené hodnocení"
"Percentage","Procento"
"Please click on Close Window button if it won't be closed automatically","Prosím klikněte na X (zavřít), pokud se okno nezavře automaticky"
"Please enter a new group name","Zadejte nové jméno skupiny"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select one or more attributes.","Označte jednu nebo více vlastností."
"Please select product(s)","Označte produkt/produkty"
"Please select products for attributes update","Označte produkty pro upravení atributů"
"Please select static block ...","Vyberte prosím statický blok..."
"Please specify the product option(s)","Prosím zadejte možnost(i) produktu"
"Please specify the product required option(s)","Prosím specifikujte vyžadované možnosti produktu"
"Please specify the product(s) quantity","Prosím nastavte množství produktů"
"Position","Pozice"
"Position In Layered Navigation","Umístění ve vrstvě navigace"
"Position of attribute in layered navigation block","Umístění atributu ve vrstvě navigačního bloku"
"Prev","Předchozí"
"Previous","Předchozí"
"Price","Cena"
"Price Type","Typ ceny"
"Price values for options should be specified in system base currency.","Nastavení hodnoty ceny může být specifikováno v systému ve výchozí měně."
"Price:","Cena:"
"Print This Page","Vytisknout tuto stránku"
"Problem saving the collection, aborting. Error: %s","Problém při ukládání kolekce, přerušuji. Chyba: %s"
"Product","Produkty"
"Product %s successfully added to compare list","Produkt %s byl úspěšně přidán k porovnání"
"Product %s successfully removed from compare list","Produkt %s byl úspěšně odebrán z porovnání"
"Product API","API Produktů"
"Product Alerts","Výstrahy pro produkt"
"Product Attribute","Vlastnost produktu"
"Product Categories","Kategorie produktu"
"Product Description","Popis produktu"
"Product Image Placeholders","Náhrada obrázků produktu"
"Product Image Watermarks","Vodoznak obrázků produktu"
"Product Images","Obrázky produktů"
"Product Images API","API obrázků produktů"
"Product In Websites","Produkt na websites"
"Product Info Column","Informační sloupec produktu"
"Product Information","Informace o produktu"
"Product Name","Název produktu"
"Product Reviews","Recenze produktů"
"Product Tags","Štítky produktu"
"Product Tier Price API","API množstevních slev produktu"
"Product Type","Typ produktu"
"Product URL Suffix","Přidat na konec URL produktu"
"Product attribute sets API","API kolekce atributů produktu"
"Product attribute was successfully deleted","Atribut produktu byl úspěšně smazán"
"Product attribute was successfully saved","Atribut produktu byl úspěšně uložen"
"Product attributes API","API atributů produktu"
"Product collection expected","Byla očekávána kolekce produktů"
"Product deleted","Produkt smazán"
"Product duplicated","Produkt duplikován"
"Product has required options","Produkt má vyžadovaná nastavení"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product saving error.","Chyba při ukládání produktu."
"Product types API","API typu produktu"
"Product was successfully created.","Produkt byl úspěšně vytvořen."
"Product was successfully saved.","Produkt byl úspěšně uložen."
"Product with this combination of attributes already associated to configurable.","Produkt s kombinací těchto vlastností už je asociován ke konfigurovatelným."
"Products","Produkty"
"Products Information","Informace o produktu"
"Products Reviews","Recenze produktů"
"Products Sitemap","Mapa produktů"
"Products only","Pouze produkty"
"Products per Page on Grid default value","Výchozí hodnota pro počet produktů na stránce pro tabulku"
"Products per Page on List default value","Výchozí hodnota pro počet produktů na stránce pro seznam"
"Properties","Vlastnosti"
"Qty","Množství"
"Qty Uses Decimals","Množství používá desetiny"
"Quick Create","Rychlé vytvoření"
"Quick Overview","Rychlý přehled"
"Quick simple product creation","Rychlé vytvoření jednoduchého produktu"
"Records for ""","Záznamy pro """
"Redirect","Přesměrování"
"Redirect URL","Přesměrování URL"
"Regular Price:","Běžná cena:"
"Related Products","Související produkty"
"Remove","Odstranit"
"Remove Product","Odstranit produkt"
"Remove Product From Websites","Odstranit produkt z websites"
"Remove This Item","Odstranit tuto položku"
"Remove product assignment","Odstranit přiřazení produktu"
"Remove product image","Odstranit obrázek produktu"
"Remove product link","Odstranit odkaz produktu"
"Required","Vyžadováno"
"Reset","Vynulovat"
"Results","Výsledky"
"Retrieve attribute list","Získat seznam atributů"
"Retrieve attribute options","Získat možnosti atributů"
"Retrieve category attributes","Získat atributy kategorie"
"Retrieve category data","Získat data kategorie"
"Retrieve hierarchical tree","Získat hierarchický stromový seznam"
"Retrieve linked products","Získat odkazy produktů"
"Retrieve list of assigned products","Získat seznam přiřazených produktů"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve product","Získat produkt"
"Retrieve product attribute sets","Získat kolekci atributů produktu"
"Retrieve product image","Získat obrázek produktu"
"Retrieve product image list","Získat seznam obrázků produktu"
"Retrieve product image types","Získat typ obrázku produktu"
"Retrieve product link type attributes","Retrieve product link type attributes"
"Retrieve product link types","Získat typ odkazu produktu"
"Retrieve product tier prices","Získat množstevní slevy poduktu"
"Retrieve product types","Získat typy produktu"
"Retrieve products list by filters","Retrieve products list by filters"
"Review successfully deleted","Recenze úspěšně smazány"
"Review was saved successfully","Recenze byly úspěšně uloženy"
"Review was successfully saved","Recenze byly úspěšně uloženy"
"Reviews","Recenze"
"Roll Over for preview","Otočit pro náhled"
"Root","Kořen"
"SKU","SKU"
"Save","Uložit"
"Save And Continue Edit","Uložit a pokračovat v úpravách"
"Save Attribute","Uložit atributy"
"Save Attribute Set","Uložit kolekci atributů"
"Save Category","Uložit kategorii"
"Save Search","Uložit hledání"
"Saved ","Uloženo "
"Scope","Rozsah"
"Search","Hledání"
"Search Engine Optimizations","Optimalizace pro vyhledávání"
"Search Information","Informace o hledání"
"Search Query","Vyhledávací dotaz"
"Search Term was successfully saved","Vyhledávaný výraz byl úspěšně uložen"
"Search Term with such search query already exist.","Vyhledávaný výraz s tímto dotazem již existuje."
"Search was successfully deleted","Hledání bylo úspěšně smazáno"
"Searchable","Prohledávatelný"
"Select Configurable Attributes","Vybrat nastavitelné atributy"
"Select type of option","Vyberte typ možnosti"
"Selected Product Types","Vybrané typy produktů"
"Send Count","Odeslat množství"
"Set Ascending Direction","Nastavit vzestupně"
"Set Descending Direction","Nastavit sestupně"
"Set Name","Nastavit jméno"
"Set Root Category For Store","Nastavit Root kategorii pro obchod"
"Set root category for this store in the <a href=""%s"">configuration</a>","Nastavte hlavní kategorii pro tento obchod v <a href=""%s"">nastavení</a>"
"Set special price","Nastavit speciální cenu"
"Set/Get current store view","Nastavit/získat náhled aktuálního obchodu"
"Settings","Nastavení"
"Shop by","Nakupovat dle"
"Shopping Options","Nákupní volby"
"Show","Ukázat"
"Show Details","Zobrazit detaily"
"Show Tags","Ukázat štítky"
"Simple Product","Jednoduchý produkt"
"Site Map","Mapa stránek"
"Skip import row, is not valid value ""%s"" for field ""%s""","Přeskakuji import řádků, neplatná hodnota ""%s"" pro pole ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Přeskakuji import řádků, vyžadované pole ""%s"" pro nového zákazníka není definováno"
"Skip import row, required field ""%s"" for new products not defined","Přeskočen import řádků, požadované pole ""%s"" pro nový produkt není definován"
"Skip import row, required field ""%s"" not defined","Přeskočen import řádků, požadované pole ""%s"" není definované"
"Skip import row, store ""%s"" field not exists","Přeskakuji import řádek, obchod ""%s"" pole neexistuje"
"Sort Order","Pořadí objednávek"
"Sort by","Seřadit podle"
"Source Model","Zdrojový model"
"Special Price:","Zvláštní cena:"
"Starting at:","Začít v:"
"Static","Pevný"
"Static block and products","Statický blok a produkty"
"Static block only","Pouze statické bloky"
"Status","Stav"
"Stock Availability","Skladová dostupnost"
"Store","Obchod"
"Store View","Store View"
"Stretch","Natáhnout"
"Subscribe to Feed","Odebírat kanál"
"Subscribe to RSS Feed","Odebírat RSS kanál"
"Super product attributes configuration","Konfigurace atributů superproduktů"
"Synonym For","Synonyma pro"
"Synonym for","Synonyma pro"
"System","Systém"
"System Properties","Vlastnosti systému"
"Tag Name","Jméno štítku"
"Text","Text"
"Text Area","Textové pole"
"Text Field","Textové pole"
"There are no %s available.","%s není dostupný."
"There are no customers for this alert","Nejsou zákazníci pro toto varování"
"There are no products matching the selection.","Výběru neodpovídá žádná položka."
"There was an error while adding products to websites","Při přidávání produktu na stránky nastala chyba"
"There was an error while cleared compare list","Při mazání seznamu porovnávaných produktů nastala chyba"
"There was an error while removing products from websites","Při odstraňování produktu ze stránek nastala chyba"
"There was an error while updating product(s) attributes","Při upravování vlastností produktů se vyskytly chyby"
"There was an error while updating product(s) status","Při aktualizaci stavu produktu nastala chyba"
"This attribute no longer exists","Tato vlastnost již neexistuje"
"This group contains system attributes. Please move system attributes to another group and try again.","Tato skupina obsahuje systémové atributy. Přesuňte systémové atributy do jiné skupiny a zkuste to znovu."
"This search no longer exists","Toto vyhledávání již neexistuje"
"Tier Pricing","Množstevní sleva"
"Tile","Dlaždice"
"Time","Čas"
"Title","Nadpis"
"Top/Left","Nahoře/vlevo"
"Top/Right","Nahoře/vpravo"
"Total of %d record(s) were successfully deleted","Celkem úspěšně smazaných záznamů: %d"
"Total of %d record(s) were successfully updated","Celkem úspěšně uložených záznamů: %d"
"Type","Typ"
"Unable to complete request. Please try again later.","Nelze dokončit požadavek. Prosím zkuste opakovat později."
"Unable to find a search term to delete","Nenalezen hledaný výraz k smazání"
"Unable to find an attribute to delete","Nenalezena atribut ke smazání"
"Unable to get product id.","Nelze získat id produktu."
"Unassigned Attributes","Nepřiřazené atributy"
"Unique Value","Unikátní hodnota"
"Unique Value (not shared with other products)","Unikátní hodnota (není sdílená s ostatními produkty)"
"Unknown attribute: %s","Neznámý atribut: %s"
"Up-sells","Doporučit"
"Update","Aktualizovat"
"Update assigned product","Aktualizovat označené produkty"
"Update attributes","Aktualizovat atributy"
"Update category","Aktualizovat kategorii"
"Update product","Aktualizovat produkt"
"Update product image","Aktualizovat obrázek produktu"
"Update product link","Aktualizovat odkaz produktu"
"Update product tier prices","Aktualizovat množstevní slevy produktu"
"Upload new product image ","Nahrát nový obrázek k produktu"
"Url","URL"
"Url Rewrite Management","Správa přepisu URL"
"Use Config Settings","Použijte konfiguraci nastavení"
"Use Default Value","Použít výchozí hodnotu"
"Use In Layered Navigation","Užijte ve vrstvách navigace"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Používá se ve vrstvách navigace<br/>(Může být použito pouze se vstupem typu 'Rozbalovací menu')"
"Use To Create Configurable Product","Použít pro vytvoření konfigurovatelného produktu"
"Use categories path for product URLs","Použít cestu kategorie pro URL produktu"
"Use in advanced search","Použít v rozšířeném hledání"
"Use in quick search","Použít v rychlém hledání"
"Values Required","Vyžadována hodnota"
"Varchar","Varchar"
"View as","Zobrazit jako"
"Virtual Product","Virtuální produkt"
"Visibility","Viditelnost"
"Visible","Viditelné"
"Visible on Catalog Pages on Front-end","Viditelné v katalogu"
"Watermark","Vodoznak"
"Watermark Default Size","Výchozí velikost vodoznaku"
"Watermark Position","Pozice vodoznaku"
"Website","Website"
"Websites","Websites"
"Yes","Ano"
"Yes/No","Ano/Ne"
"You cannot delete this attribute","Nemůžete smazat tento atribut"
"You cannot edit this attribute","Nemůžete upravovat tento atribut"
"You cannot remove system attribute from this set.","Nemůžete odebrat systémový atribut z této skupiny."
"You cannot update this attribute","Nemůžete aktualizovat tento atribut"
"You have no items to compare.","Nevybrali jste položky k porovnání."
"You may also be interested in the following product(s)","Možná Vás zaujmou i následující produkty"
"Zoom In","Přiblížit"
"Zoom Out","Oddálit"
"[GLOBAL]","[GLOBÁLNÍ]"
"and","a"
"and above","a nad"
"categories","Kategorie"
"ex. http://domain.com","například: http://domain.com"
"per page","na stránku"
"products","Produkty"
"save","ušetřit"
"select all","Vybrat vše"
"unselect all","Odznačit vše"
"Add Root Category","Přidat Root kategorii"
"Add Subcategory","Přidat podkategorii"
"Base Image","Základní obrázek"
"cache refresh needed","nutné obnovení cache"
"Collapse All","Sbalit všechny"
"comma separated","oddělovat čárkou"
"Expand All","Rozbalit všechny"
"List Mode","Typ seznamu"
"Manage Attributes","Správa atributů"
"Meta Information","Meta Informace"
"must be in the allowed values list","musí být na seznamu povolených hodnot"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Buďte prosím opatrní, jakmile jednou kliknete na řadu, budou načtena data zvoleného souboru a všechna neuložená data budou ztracena"
"Prices","Ceny"
"Products per page on Grid allowed values","Povolené hodnoty ""produktů na stránku"""
"Qty for Item's Status to become Out of Stock","Množství položek pro status ""vyprodáno"""
"Small Image","Malý obrázek"
"Description","Popis"
"Short Description","Stručný popis"
"Select Configurable Attributes ","Zvolit konfigurovatelné atributy"
"Use In Search Results Layered Navigation","Použít v navigaci rozvrstvených výsledků vyhledávání"
"Check items to add to the cart or","Zaškrtnout položky pro přidání do košíku nebo"
"Total Qty Base Items","Celkové množství Base položek"
"Allow HTML-tags on Front-end","Povolit HTML tagy ve Front-endu"
