"* Required Fields","* Povinná pole"
"Customer Group","Skupina zákazníků"
"Customer Group was successfully deleted","Skupina zákazníků byla úspěšně smazána"
"Customer Group was successfully saved","Skupina zákazníků byla úspěšně uložena"
"Customer Groups","Skupiny zákazníků"
"Customer Information","Informace o zákazníkovi"
"Customer Login","Přihlášení zákazníka"
"Customer Since","Zákazníkem od"
"Customer View","Zákaznický pohled"
"Customer collection expected","Byla očekávána kolekce zákazníka"
"Customer doesn't have primary billing address","Zákazník nemá hlavní fakturační adresu"
"Customer email already exists","Zákazníkův e-mail již existuje"
"Customers","Zákazníci"
"Customers Only","Pouze zákazníci"
"DD","DD"
"Date","Datum"
"Date Added","Přidáno datum"
"Date of Birth","Datum narození"
"Day","Den"
"Days in Wishlist","Dny v knize přání"
"Default Addresses","Výchozí adresy"
"Default Billing Address","Výchozí fakturační adresa"
"Default Email Domain","Výchozí e-mail"
"Default Group","Výchozí skupina"
"Default Shipping Address","Výchozí dodací adresa"
"Default Welcome Email","Výchozí uvítací email"
"Delete","Smazat"
"Delete Address","Smazat adresu"
"Delete Customer","Smazat zákazníka"
"Delete Customer Group","Smazat zákaznickou skupinu"
"Delete customer","Smazat zákazníka"
"Delete customer address","Smazat zákazníkovu adresu"
"Deleted Stores","Smazat obchody"
"Details","Detaily"
"Disabled","Neaktivní"
"Edit","Upravit"
"Edit Account Info","Upravit informace o účtu"
"Edit Account Information","Upravit informace o účtu"
"Edit Address","Upravit adresu"
"Edit Address Entry","Upravit adresní záznam"
"Edit Customer Group ""%s""","Upravit zákaznickou skupinu ""%s"""
"Edit Customer Groups","Upravit zákaznickou skupinu"
"Edit Customer's Address","Upravit zákaznické adresy"
"Edit Group","Upravit skupinu"
"Edit Newsletter Subscription","Upravit odběr zpravodaje"
"Edit Newsletters","Upravit zpravodaje"
"Edit Personal Information","Upravit osobní informace"
"Email","E-mail"
"Email Address","E-mailová adresa"
"Email Sender","Odesílatel e-mailu"
"Entity collection is expected","Je očekávána skupina údajů"
"Error during retrieval of option value: %s","Chyba během příjmu hodnoty volby: %s"
"Ext. Price","Ext. Cena"
"Failed to confirm customer account.","Chybně potvrzený účet zákazníka."
"Fax","Fax"
"First Name","Jméno"
"Forgot Email Sender","Zapomenutý e-mail odesílatele"
"Forgot Email Template","Zapomenuté Email Template"
"Forgot Your Password?","Zapomněli jste heslo?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Na nástěnce Vašeho účtu můžete sledovat souhrn posledních událostí na Vašem účtu. Vyberte odkaz níže pro prohlížení nebo úpravu informací."
"General Subscription","Hlavní odběr"
"Global","Globální"
"Go to Address Book","Jít do adresáře"
"Grand Total","Celkový součet"
"Grand Total: %s","Celkem: <strong>%s</strong>"
"Group","Skupina"
"Group ""%s"" can not be deleted","Skupina ""%s"" nemůže být smazána"
"Group Information","Informace o skupině"
"Group Name","Jméno skupiny"
"Guest","Návštěvník"
"HTML","HTML"
"Hello, %s!","Vítejte, %s!"
"ID","ID"
"IP Address","IP adresa"
"If you have an account with us, please log in.","Pokud u nás máte účet, přihlašte prosím."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Byla specifikována neplatná volba pro atribut %s (%s), záznam vynechán"
"Invalid attribute set specified, skipping the record","Byla specifikována neplatná kolekce atributů, záznam vynechán"
"Invalid current password","Zadané heslo je neplatné"
"Invalid customer data","Chybná zákaznická data"
"Invalid email address","Chybná e-mailová adresa"
"Invalid login or password.","Neplatné uživatelské jméno nebo heslo."
"Invalid option id specified for %s (%s), skipping the record","Bylo specifikováno neplatné id volby pro %s (%s), záznam vynechán"
"Invalid store specified, skipping the record","Byl vybrán neplatný obchod, záznam vynechán"
"Items Order","Pořadí položek"
"Last 5 Orders","Posledních 5 objednávek"
"Last Activity","Poslední událost"
"Last Name","Příjmení"
"Last Url","poslední přihlášení z"
"Last Viewed Items","Poslední zobrazené položky"
"Last date subscribed","Poslední den odběru"
"Last date unsubscribed","Poslední den zrušení odběru"
"Lifetime Sales","Průběh prodeje"
"Log In","Přihlásit se"
"Log Out","Odhlásit"
"Login","Přihlášení"
"Login Information","Přihlašovací informace"
"Login and password are required","Jméno a heslo je vyžadováno"
"Login or Create an Account","Přihlásit nebo vytvořit účet"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Správa adres"
"Manage Customers","Správa zákazníků"
"Missing email, skipping the record","Chybný e-mail, záznam vynechán"
"Missing firstname, skipping the record","Chybějící jméno, záznam vynechán"
"Missing lastname, skipping the record","Chybějící příjmení, záznam vynechán"
"Month","měsíc"
"My Account","Můj účet"
"My Dashboard","Moje nástěnka"
"My Orders","Moje objednávky"
"My Reviews","Moje recenze"
"My Tags","Moje štítky"
"My Wishlist","Moje kniha přání"
"Name","Jméno"
"Never","Nikdy"
"New Address","Nová adresa"
"New Address Entry","Nový adresní záznam"
"New Customer","Nový zákazník"
"New Customer Address","Nová zákaznická adresa"
"New Customer Group","Nová zákaznická skupina"
"New Customer Groups","Nová skupina zákazníků"
"New Customers","Noví zákazníci"
"New Group","Nová skupina"
"New Password","Nové heslo"
"New account","Nový účet"
"New account confirmation key","Nový potvrzovací klíč účtu"
"New account confirmed","Nově potvrzený účet"
"New password","Nové heslo"
"Newsletter","Zpravodaj"
"Newsletter Finish","Zpravodaj dokončen"
"Newsletter Information","Informace o zpravodaji"
"Newsletter Received","Zpravodaj obdržen"
"Newsletter Start","Start zpravodaje"
"Newsletter Subscription","Odběry zpravodaje"
"Newsletters","Zpravodaje"
"No Items Found","Nenalezeny položky"
"No Newsletter Found","Zpravodaj nenalezen"
"No item specified.","Nebyly zvoleny žádné položky."
"No product collections found","Kolekce produktů nenalezeny"
"Not Sent","Neodesláno"
"Not confirmed, can login","Not confirmed, can login"
"Not confirmed, cannot login","Not confirmed, cannot login"
"Number of lines in a street address","Počet řádků v adrese ulice"
"Offline","Offline"
"Online","Online"
"Online Customers","Online zákazníci"
"Online Customers Options","Možnosti online zákazníků"
"Online Minutes Interval","Online interval v minutách"
"Order #","Objednávka č."
"Order #%s (%s)","Objednávka č:%s (%s)"
"Order List...","Seznam objednávek..."
"Order Total","Objednávka celkem"
"Orders","Objednávky"
"PDF","PDF"
"Password","Heslo"
"Password Management","Nastavení hesla"
"Password Options","Možnosti hesla"
"Password fields can't be empty.","Pole s heslem nesmí být prázdné."
"Password forgotten","Zapomenuté heslo"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Heslo musí mít více jak 6 znaků. Počáteční a koncové mezery budou ignorovány."
"Paused","Pozastaveno"
"Payment Method","Způsob platby"
"Pending","Čekající"
"Per Website","Na webové stránky"
"Personal Information","Osobní informace"
"Please enter your email below and we'll send you a new password.","Prosím zadejte svůj e-mail a my Vám zašleme nové heslo."
"Please enter your email below and we'll send you confirmation link for it.","Prosím zadejte svůj e-mail a my Vám zašleme potvrzující odkaz."
"Please enter your email.","Zadejte Váš e-mail."
"Please make sure your passwords match.","Ujistěte se prosím, že hesla souhlasí."
"Please select","Prosím vyberte"
"Please select region, state or province","Vyberte prosím oblast, stát nebo provincii"
"Please, check your e-mail for confirmation key.","Please, check your e-mail for confirmation key."
"Prefix","Prefix"
"Price","Cena"
"Primary Billing Address","Hlavní fakturační adresa"
"Primary Shipping Address","Hlavní dodací adresa"
"Problem saving the collection, aborting. Error: %s","Problém při ukládání kolekce, přerušuji. Chyba: %s"
"Product","Produkt"
"Product ID","ID Produktu"
"Product Name","Název produktu"
"Product Reviews","Recenze produktů"
"Product Tags","Štítky produktu"
"Product name","Jméno produktu"
"Purchase On","Koupeno"
"Purchased at","Koupeno v "
"Qty","Množství"
"Recent Orders","Poslední objednávky"
"Records for ""","Záznamy pro """
"Refunded","Splacený"
"Registered Customers","Registrovaní zákazníci"
"Remove","Odstranit"
"Require Emails Confirmation","Požadavek e-mailového potvrzení"
"Retrieve customer addresses","Získat adresy zákazníka"
"Retrieve customer data","Získat data zákazníka"
"Retrieve customer's groups","Získat zákaznickou skupinu"
"Retrieve customers","Získat zákazníky"
"Retrieve your confirmation link here","Zde získáte potvrzující odkaz"
"Retrieve your password here","Zde získáte Vaše heslo"
"SKU","SKU"
"Sales Statistics","Statistiky prodeje"
"Save","Uložit"
"Save Address","Uložit adresu"
"Save Customer","Uložit zákazníka"
"Save Customer Group","Uložit zákaznickou skupinu"
"Save Password","Uložit heslo"
"Saved ","Uloženo "
"Send Welcome Email after Confirmation","Zaslat uvítací e-mail po potvrzení"
"Send auto-generated password","Odeslat automaticky vygenerované heslo"
"Send confirmation link","Zaslat potvrzovací odkaz"
"Send welcome email","Odeslat uvítací e-mail"
"Sending","Zaslání"
"Sent","Odesláno"
"Session Start Time","Začátek session"
"Set as Default Billing Address","Nastavit jako výchozí fakturační adresu"
"Set as Default Shipping Address","Nastavit jako výchozí doručovací adresu"
"Share Customer Accounts","Sdílet zákaznické účty"
"Ship to First name","Doručit na jméno"
"Ship to Last name","Doručit na příjmení"
"Shipped to First Name","Odesláno na jméno"
"Shipped to Last Name","Odesláno na příjmení"
"Shipped to Name","Odesláno na jméno"
"Shipping Information","Dodací údaje"
"Shipping Method","Způsob dodání"
"Shopping Cart","Nákupní košík"
"Shopping Cart - %d item(s)","Nákupní košík - položek: %d"
"Sign Up for Newsletter","Přihlásit se k odběru zpravodaje"
"Sign up for our newsletter","Přihlásit k odběru zpravodaje"
"Skip import row, required field ""%s"" not defined","Přeskočen import řádků, požadovaná pole ""%s"" nejsou definované"
"Skip import row, website ""%s"" field not exists","Přeskočen import řádků, stránky ""%s"" pole neexistují"
"State/Province","Stát/provincie"
"Status","Stav"
"Store","Obchod"
"Store View","Store View"
"Street Address","Ulice"
"Street Address ","Ulice"
"Subject","Předmět"
"Submit","Odeslat"
"Subscribe","Odebírat"
"Subscribe to newsletter","Odebírat zpravodaj"
"Subscribed to Newsletter?","Odebírat zpravodaj?"
"Suffix","Suffix"
"Tag Name","Jméno štítku"
"Tax Class","Daňová třída"
"Tax class","Daňová třída"
"Tax/VAT number","Číslo Tax/VAT"
"Telephone","Telefon"
"Text","Text"
"Text One Line","Jedna řádka textu"
"Thank you for registering with %s","Děkujeme Vám za registraci u %s"
"The address does not belong to this customer","Adresa nepatří tomuto zákazníkovi"
"The address was successfully deleted","Adresa byla úspěšně smazána"
"The address was successfully saved","Adresa byla úspěšně uložena"
"There are no items in customer's wishlist at the moment","Momentálně nejsou žádné položky v zákaznických knihách přání"
"There are no items in customer's shopping cart at the moment","Momentálně nejsou žádné položky v zákaznických košících"
"There was an error while deleting the address","Při mazání adresy došlo k chybě"
"This account is not confirmed.","Tetnto účet není potvrzený."
"This customer has no saved addresses.","Tento zákazník nemá uloženou adresu."
"This e-mail does not require confirmation.","Tento e-mail nevyžaduje potvrzení."
"This email address was not found in our records","Tato e-mailová adresa nebyla v naší databázi nalezena"
"This is My Primary %s Address","Toto je moje hlavní <strong>%s</strong> adresa"
"To Cart","Do košíku"
"Total","Celkem"
"Type","Typ"
"Unknown","Neznámý"
"Unsubscribe from newsletter","Zrušit odebírání zpravodaje"
"Update","Aktualizovat"
"Update customer address data","Aktualizovat data zákaznické adresy"
"Update customer data","Aktualizovat data zákazníka"
"Use as My Primary %s Address","Použít jako mojí hlavní <strong>%s</strong> adresu"
"Use as my default billing address","Použít jako mojí výchozí <strong>fakturační</strong> adresu"
"Use as my default shipping address","Použít jako moji výchozí <strong>dodací</strong> adresu"
"User description","Popis uživatele"
"View","Pohled"
"View Order","Zobrazit objednávku"
"View Order List","Zobrazit seznam objednávek"
"Visible In","Viditelné v"
"Visitor","Návštěvník"
"Visitors Only","Pouze návštěvníci"
"Website","Website"
"Welcome Email","Uvítací e-mail"
"Wishlist","Kniha přání"
"Wishlist - %d item(s)","Kniha přání - položek: %d"
"Wrong confirmation key.","Chybný potvrzující klíč."
"Wrong customer account specified.","Chybně specifikován zákaznický účet."
"Wrong email.","Špatný e-mail."
"Wrong region id by selected country","Špatné id regionu podle vybrané země"
"Wrong transactional account email type.","Wrong transactional account email type."
"XML","XML"
"YYYY","YYYY"
"Year","Rok"
"You are currently not subscribed to any newsletter.","Nejste momentálně přihlášen k odběru žádných novinek."
"You are currently not subscribed to our newsletter","Nejste zapsán k odběru zpravodaje"
"You are currently subscribed to 'General Subscription'.","Jste příhlášen k odběru hlavních novinek."
"You are currently subscribed to our newsletter","Jste zapsán k odběru našeho zpravodaje"
"You are currently subscribed to our newsletter.","Nyní jste přihlášen k odběru našeho zpravodaje."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Úspěšně jste se odhlásili a během 5 sekund budete přesměrováni na hlavní stránku."
"You have no additional address entries in your address book.","V adresáři nemáte žádné další záznamy."
"You have no additional entries in your address book.","V adresáři nemáte žádné další záznamy."
"You have no default billing address in your address book.","Ve Vašem adresáři nemáte žádnou výchozí fakturační adresu."
"You have no default shipping address in your address book.","Ve Vašem adresáři nemáte žádnou výchozí dodací adresu."
"You have no primary entries in your address book.","V adresáři nemáte žádné hlavní záznamy."
"You have not set a primary billing address.","Nemáte nastavenou hlavní fakturační adresu"
"You have not set a primary shipping address.","Nemáte nastavenou hlavní dodací adresu"
"You have placed no orders yet.","Zatím jste neodeslali žádnou objednávku."
"You have placed no products yet.","Nemáte vložené žádné produkty"
"You're now Logged Out","Nyní jste odhlášeni"
"Your account balance is: %s","Bilance Vašeho účtu je: <strong>%s</strong>"
"ZIP","PSČ"
"ZIP/Post Code","PSČ"
"ZIP/Postal Code","PSČ"
"Zip/Postal Code","PSČ"
"n/a","nedefinováno"
"or","nebo"
"Always optional","Vždy volitelné"
"Forgot Email Template","Zapomenutý e-mail - šablona"
"Leave empty for default (15 minutes).","Ponechte prázdné pro výchozí hodnotu (15 minut)."
"Name and Address Options","Možnosti jména a adresy"
"Number of lines in a street address","počet řádků v adrese ulice"
"Prefix dropdown options","Rolovací nabídka titulů"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Pro oddělení hodnot použijte středník (;).<br/>Pro prázdnou první hodnotu vložte středník na začátek.<br/>Pro prázdné textové pole ponechte prázdné."
"Show date of birth","Zobrazit datum narození"
"Show middle name (initial)","Zobrazit iniciále prostředního jména"
"Show prefix","Zobrazovat titul před jménem"
"Show suffix","Zobrazit titul za jménem"
"Show Tax/VAT number","Zobrazit Tax/VAT číslo"
"Suffix dropdown options","Rolovací nabídka titulů"
"This Email will be sent instead of Default Welcome Email","Tento email bude zaslán místo výchozího uvítacího emailu"
"Always optional","Vždy volitelné"
"Forgot Email Template","Zapomenutý e-mail - šablona"
"Leave empty for default (15 minutes).","Ponechte prázdné pro výchozí hodnotu (15 minut)."
"Name and Address Options","Možnosti jména a adresy"
"Number of lines in a street address ","počet řádků v adrese ulice"
"Prefix dropdown options","Rolovací nabídka titulů"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Pro oddělení hodnot použijte středník (;).<br/>Pro prázdnou první hodnotu vložte středník na začátek.<br/>Pro prázdné textové pole ponechte prázdné."
"Show date of birth","Zobrazit datum narození"
"Show middle name (initial)","Zobrazit iniciále prostředního jména"
"Show prefix","Zobrazovat titul před jménem"
"Show suffix","Zobrazit titul za jménem"
"Show Tax/VAT number","Zobrazit Tax/VAT číslo"
"Suffix dropdown options","Rolovací nabídka titulů"
"The suffix that goes after name (Jr., Sr., etc.)","Titul za jménem (Jr., Sr., atd.)"
"The title that goes before name (Mr., Mrs., etc.)","Titul před jménem  (Mr., Mrs., atd.)"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Tento e-mail bude po potvrzení účtu zaslán místo výchozího uvítacího e-mailu  "
"Log in or Create an Account","Přihlásit nebo vytvořit účet"
"Customer View ","Zákaznický pohled"
